ID sample,Lat dec,Long dec
083WAWA,-32.51,115.59
317SPBR,-49,-22.42
aqui5015          ,17.044079,-95.958843
arach1133-2,-31.63994722,-64.95540278
arach1141-6,-32.0130417,-64.97245
arach1285-1,-37.92766667,-57.83030556
arach1285-10,-57.83030556,-37.92766667
arach1293-10 ,-37.88894444,-57.83836111
arach1611-1,-27.3738889,-58.48861111
arach1611-3 ,-27.3738889,-58.48861111
arach1629-1,-20.4131,-40.6831
arach1643,-46.04786389,-20.6141333
arach1654-7,-55.18402778,-27.48625
arach1670-1,-28.1974444,-55.78688889
arach1685-4,-29.265,-56.75116667
arach1685-6,-29.265,-56.75116667
arach169-4 ,-27.01022222,-54.04430556
arach169-8,-27.01022222,-54.04430556
arach205-10,-34.81326389,-55.25718333
arach205-2 ,-34.81326389,-55.25718333
arach205-7,-34.81326389,-55.25718333
arach2128 ,-22.3627778,-44.72777778
arach292,-26.09526944,-56.83936111
arach379-1 ,-24.24172222,-65.09408333
arach379-8 ,-24.24172222,-65.09408333
arach410-1 ,-24.22438889,-65.07969444
arach437-1 ,-24.12183333,-65.46463889
arach437-9 ,-24.12183333,-65.46463889
arach457-6 ,-24.16747222,-65.48897222
arach8241,-4.271103,-38.9344165
arach905,-26.14436667,-55.53015278
camp3785,-20.459,-40.341
glab105,-64.63370833,-31.35188056
gry290 ,-32.03505,-65.01752222
gry404-3 ,-24.22438889,-65.07969444
gry404-5 ,-24.22438889,-65.07969444
gry4508,-71.405498,18.457735
gry509-10,-31.34133333,-64.94167222
gry509-2,-31.34133333,-64.94167222
gry509-6,-64.94167222,-31.34133333
harp1623,1.9815806,-60.05117222
harpP1,-60.05117222,1.9815806
harpP2 ,1.9815806,-60.05117222
paedo2570,-24.1005,-45.6952
paedo3844,-22.9386139,-45.44085
wolf-1001,-90.385,-0.626
wolf-1002,-0.66375,-90.396
