name,ID sample,Lat dec,Long dec
arachnoideum,317SPBR,-22.42,-49
arachnoideum,arach1133-2,-31.63994722,-64.95540278
arachnoideum,arach1141-6,-32.0130417,-64.97245
arachnoideum,arach1285-1,-37.92766667,-57.83030556
arachnoideum,arach1285-10,-37.92766667,-57.83030556
arachnoideum,arach1293-10 ,-37.88894444,-57.83836111
arachnoideum,arach1611-1,-27.3738889,-58.48861111
arachnoideum,arach1611-3 ,-27.3738889,-58.48861111
arachnoideum,arach1629-1,-20.4131,-40.6831
arachnoideum,arach1643,-20.6141333,-46.04786389
arachnoideum,arach1654-7,-27.48625,-55.18402778
arachnoideum,arach1670-1,-28.1974444,-55.78688889
arachnoideum,arach1685-4,-29.265,-56.75116667
arachnoideum,arach1685-6,-29.265,-56.75116667
arachnoideum,arach169-4 ,-27.01022222,-54.04430556
arachnoideum,arach169-8,-27.01022222,-54.04430556
arachnoideum,arach205-10,-34.81326389,-55.25718333
arachnoideum,arach205-2 ,-34.81326389,-55.25718333
arachnoideum,arach205-7,-34.81326389,-55.25718333
arachnoideum,arach2128 ,-22.3627778,-44.72777778
arachnoideum,arach292,-26.09526944,-56.83936111
arachnoideum,arach379-1 ,-24.24172222,-65.09408333
arachnoideum,arach379-8 ,-24.24172222,-65.09408333
arachnoideum,arach410-1 ,-24.22438889,-65.07969444
arachnoideum,arach437-1 ,-24.12183333,-65.46463889
arachnoideum,arach437-9 ,-24.12183333,-65.46463889
arachnoideum,arach457-6 ,-24.16747222,-65.48897222
arachnoideum,arach8241,-4.271103,-38.9344165
arachnoideum,arach905,-26.14436667,-55.53015278
arachnoideum,wolf-1001,-0.626,-90.385
campestre,camp3785,-20.459,-40.341
esculentum,083WAWA,-32.51,115.59
gryphus,gry290 ,-32.03505,-65.01752222
gryphus,gry404-3 ,-24.22438889,-65.07969444
gryphus,gry404-5 ,-24.22438889,-65.07969444
gryphus,gry4508,18.457735,-71.405498
gryphus,gry509-10,-31.34133333,-64.94167222
gryphus,gry509-2,-31.34133333,-64.94167222
gryphus,gry509-6,-31.34133333,-64.94167222
harpianum,harp1623,1.9815806,-60.05117222
harpianum,harpP1,1.9815806,-60.05117222
harpianum,harpP2 ,1.9815806,-60.05117222
indet,glab105,-31.35188056,-64.63370833
paedomorficum,paedo2570,-24.1005,-45.6952
paedomorficum,paedo3844,-22.9386139,-45.44085
