ID sample,sp
083WAWA,P. esculentum
317SPBR,P. e. arachnoideum
aqui5015          ,P. aquilinum
arach1133-2,P. e. arachnoideum
arach1141-6,P. e. arachnoideum
arach1285-1,P. e. arachnoideum
arach1285-10,P. e. arachnoideum
arach1293-10 ,P. e. arachnoideum
arach1611-1,P. e. arachnoideum
arach1611-3 ,P. e. arachnoideum
arach1629-1,P. e. arachnoideum
arach1643,P. e. arachnoideum
arach1654-7,P. e. arachnoideum
arach1670-1,P. e. arachnoideum
arach1685-4,P. e. arachnoideum
arach1685-6,P. e. arachnoideum
arach169-4 ,P. e. arachnoideum
arach169-8,P. e. arachnoideum
arach205-10,P. e. arachnoideum
arach205-2 ,P. e. arachnoideum
arach205-7,P. e. arachnoideum
arach2128 ,P. e. arachnoideum
arach292,P. e. arachnoideum
arach379-1 ,P. e. arachnoideum
arach379-8 ,P. e. arachnoideum
arach410-1 ,P. e. arachnoideum
arach437-1 ,P. e. arachnoideum
arach437-9 ,P. e. arachnoideum
arach457-6 ,P. e. arachnoideum
arach8241,P. e. arachnoideum
arach905,P. e. g. harpianum
camp3785,P. e. campestre
glab105,indet
gry290 ,P. e. gryphus
gry404-3 ,P. e. gryphus
gry404-5 ,P. e. gryphus
gry4508,P. e. gryphus
gry509-10,P. e. gryphus
gry509-2,P. e. gryphus
gry509-6,P. e. gryphus
harp1623,P. e. g. harpianum
harpP1,P. e. g. harpianum
harpP2 ,P. e. g. harpianum
paedo2570,P. e. a. paedomorficum
paedo3844,P. e. a. paedomorficum
wolf-1001,P. e. arachnoideum
wolf-1002,P. caudatum
